# hostname;interval;timestamp;kbswpfree;kbswpused;%swpused;kbswpcad;%swpcad
NOEYYRYH;60;2017-08-07 23:47:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:48:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:49:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:50:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:51:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:52:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:53:02 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;59;2017-08-07 23:54:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:55:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:56:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:57:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:58:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-07 23:59:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:00:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:01:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:02:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:03:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:04:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:05:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:06:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:07:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:08:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:09:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:10:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:11:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:12:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:13:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:14:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:15:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:16:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:17:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:18:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:19:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:20:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:21:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:22:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:23:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:24:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:25:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:26:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:27:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:28:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:29:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:30:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:31:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:32:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:33:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:34:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:35:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:36:01 UTC;2097008;140;0.01;0;0.00
NOEYYRYH;60;2017-08-08 00:37:01 UTC;2097008;140;0.01;0;0.00
