# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
NOEYYRYH;60;2017-07-28 14:34:01 UTC;-1;0.76;0.00;0.22;0.13;0.00;98.89
NOEYYRYH;60;2017-07-28 14:35:01 UTC;-1;1.13;0.00;0.40;0.13;0.00;98.34
NOEYYRYH;60;2017-07-28 14:36:01 UTC;-1;0.69;0.00;0.19;0.08;0.00;99.04
NOEYYRYH;60;2017-07-28 14:37:01 UTC;-1;1.07;0.00;0.35;0.09;0.00;98.49
NOEYYRYH;60;2017-07-28 14:38:01 UTC;-1;0.68;0.00;0.20;1.02;0.00;98.10
NOEYYRYH;60;2017-07-28 14:39:01 UTC;-1;1.06;0.00;0.38;0.16;0.00;98.40
NOEYYRYH;60;2017-07-28 14:40:01 UTC;-1;0.69;0.00;0.17;0.08;0.00;99.06
NOEYYRYH;60;2017-07-28 14:41:01 UTC;-1;1.06;0.00;0.36;0.09;0.00;98.49
NOEYYRYH;60;2017-07-28 14:42:01 UTC;-1;0.76;0.00;0.17;0.12;0.00;98.96
NOEYYRYH;60;2017-07-28 14:43:01 UTC;-1;1.11;0.00;0.37;0.09;0.00;98.43
NOEYYRYH;60;2017-07-28 14:44:01 UTC;-1;0.68;0.00;0.19;0.08;0.00;99.05
NOEYYRYH;60;2017-07-28 14:45:01 UTC;-1;1.05;0.00;0.38;0.07;0.00;98.50
NOEYYRYH;60;2017-07-28 14:46:01 UTC;-1;0.69;0.00;0.20;0.08;0.00;99.03
NOEYYRYH;60;2017-07-28 14:47:01 UTC;-1;1.07;0.00;0.33;0.07;0.00;98.53
NOEYYRYH;60;2017-07-28 14:48:01 UTC;-1;0.83;0.00;0.24;0.23;0.00;98.70
NOEYYRYH;60;2017-07-28 14:49:01 UTC;-1;1.01;0.00;0.37;0.18;0.00;98.45
NOEYYRYH;60;2017-07-28 14:50:01 UTC;-1;0.80;0.00;0.19;0.11;0.00;98.90
NOEYYRYH;60;2017-07-28 14:51:01 UTC;-1;0.90;0.00;0.31;0.30;0.00;98.49
NOEYYRYH;60;2017-07-28 14:52:01 UTC;-1;0.89;0.00;0.23;0.25;0.00;98.62
NOEYYRYH;60;2017-07-28 14:53:01 UTC;-1;1.03;0.00;0.30;0.08;0.00;98.58
NOEYYRYH;60;2017-07-28 14:54:01 UTC;-1;0.95;0.00;0.32;0.15;0.00;98.58
NOEYYRYH;60;2017-07-28 14:55:01 UTC;-1;0.92;0.00;0.29;0.08;0.00;98.71
NOEYYRYH;60;2017-07-28 14:56:01 UTC;-1;0.90;0.00;0.31;0.13;0.00;98.67
NOEYYRYH;60;2017-07-28 14:57:01 UTC;-1;1.03;0.00;0.28;0.09;0.00;98.59
NOEYYRYH;60;2017-07-28 14:58:01 UTC;-1;0.90;0.00;0.31;0.18;0.00;98.62
NOEYYRYH;60;2017-07-28 14:59:01 UTC;-1;0.98;0.00;0.27;0.08;0.00;98.67
NOEYYRYH;60;2017-07-28 15:00:01 UTC;-1;1.04;0.00;0.35;0.17;0.00;98.45
NOEYYRYH;60;2017-07-28 15:01:01 UTC;-1;0.90;0.00;0.27;0.05;0.00;98.78
NOEYYRYH;60;2017-07-28 15:02:01 UTC;-1;0.83;0.00;0.31;0.10;0.00;98.77
NOEYYRYH;60;2017-07-28 15:03:01 UTC;-1;0.87;0.00;0.25;0.15;0.00;98.73
NOEYYRYH;60;2017-07-28 15:04:01 UTC;-1;0.92;0.00;0.32;0.19;0.00;98.57
NOEYYRYH;60;2017-07-28 15:05:01 UTC;-1;0.89;0.00;0.28;0.11;0.00;98.71
NOEYYRYH;60;2017-07-28 15:06:01 UTC;-1;0.82;0.00;0.28;1.03;0.00;97.88
