# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
NOEYYRYH;60;2017-07-30 23:06:01 UTC;0.00;574.89;1007.57;0.00;593.66;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:07:01 UTC;0.00;571.75;817.48;0.00;411.69;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:08:01 UTC;2.14;578.22;1010.18;0.00;589.99;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:09:01 UTC;0.00;579.96;810.69;0.00;412.29;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:10:01 UTC;0.00;573.89;1002.02;0.00;588.73;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:11:01 UTC;0.07;570.82;796.08;0.00;412.12;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:12:01 UTC;0.00;575.03;998.95;0.00;587.01;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:13:01 UTC;0.00;576.56;841.34;0.00;413.82;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:14:01 UTC;0.00;580.68;1005.24;0.00;589.32;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:15:01 UTC;0.00;572.06;809.14;0.00;406.94;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:16:01 UTC;0.00;574.15;1007.49;0.00;592.76;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:17:01 UTC;0.00;571.33;807.85;0.00;409.27;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:18:01 UTC;0.00;578.72;1012.12;0.00;591.59;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:19:01 UTC;0.00;580.36;804.30;0.00;409.77;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:20:01 UTC;0.00;572.61;1015.88;0.00;592.83;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:21:01 UTC;0.00;573.56;821.69;0.00;416.02;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:22:01 UTC;0.00;574.89;985.91;0.00;582.87;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:23:01 UTC;0.00;575.99;812.10;0.00;411.19;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:24:01 UTC;0.00;581.99;1020.15;0.00;592.41;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:25:01 UTC;0.00;572.09;781.12;0.00;405.15;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:26:02 UTC;0.00;573.28;1040.00;0.00;595.98;0.00;0.00;0.00;0.00
NOEYYRYH;59;2017-07-30 23:27:01 UTC;0.00;582.78;799.29;0.00;409.51;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:28:01 UTC;0.00;578.35;1013.01;0.00;595.05;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:29:01 UTC;0.00;578.06;832.51;0.00;411.55;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:30:01 UTC;0.00;577.21;976.25;0.00;586.26;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:31:01 UTC;0.00;571.50;829.54;0.00;415.47;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:32:01 UTC;0.00;574.25;1010.02;0.00;588.69;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:33:01 UTC;115.81;1154.04;1456.89;0.28;913.61;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:34:01 UTC;2.20;305.40;926.87;0.00;492.48;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:35:01 UTC;0.00;847.10;923.27;0.00;509.46;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:36:01 UTC;2.07;301.02;892.85;0.00;490.40;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:37:01 UTC;0.00;848.10;931.30;0.00;509.92;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:38:01 UTC;0.00;304.02;910.59;0.00;494.91;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:39:01 UTC;0.00;855.44;907.57;0.00;502.82;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-30 23:40:01 UTC;0.00;297.87;883.72;0.00;488.79;0.00;0.00;0.00;0.00
